Title,keywords,Python,salary,R,SQL,Place
Analytics Engineer,"(['Python', 'R'], ['ETL', 'SQL', 'dbt'])",0,129500.0,0,1,"Bellevue, WA "
Data Engineer - Data Science & Analytics,"(['Cosmos DB', 'Oracle database', 'Microsoft Azure'], ['ETL', 'SQL', 'Synapse', 'Databricks', 'Git', 'API', 'agile', 'SAP'])",0,100000.0,0,1,"Seattle, WA "
Data Engineer,"(['Python'], ['AWS', 'Apigee', 'Google Cloud Dataflow'], ['Agile', 'SCRUM', 'Git'])",0,,0,0,"Seattle, WA"
Data Engineer,"(['Cosmos DB'], ['DB2', 'Oracle'], ['ETL', 'SQL', 'Synapse', 'Databricks', 'Git', 'agile', 'SAP'])",0,100000.0,0,0,"Seattle, WA"
Business Intelligence Analyst III (Marketing Web Analytics),"(['Python', 'JavaScript'], ['Google Analytics', 'Looker', 'Tableau', 'SQL'])",0,127000.0,0,1,"Bellevue, WA"
Business Intelligence Analyst 4,"(['Power BI'],)",0,,0,0,"Seattle, WA "
"Senior Data Analyst, Finance Reporting","(['SQL', 'Tableau'],)",1,145000.0,0,0,"Seattle, WA"
Data Engineer,"(['Python'], ['Amazon Web Services', 'Microsoft Azure'], ['Snowflake'], ['Docker', 'Tableau', 'Power BI', 'SQL', 'Airflow', 'Git'])",0,130000.0,1,0,"Seattle, WA"
Senior Category Insights Analyst,,0,91000.0,0,0,"Seattle, WA"
Data Engineer,"(['Python', 'Ruby', 'Scala', 'Java', 'R', 'MatLab', 'C++'], ['GCP'], ['SAS', 'SQL', 'Git', 'ETL'])",0,,0,0,"Seattle, WA"
"Data Engineer - Data Cycling Center, USDS","(['Scala', 'Java'], ['AWS'], ['access', 'Cassandra'], ['SQL'])",0,,0,1,"Seattle, WA "
Systems Analyst - Data Governance,"(['Javascript'], ['access', 'SQL Server'], ['Agile', 'scrum'])",0,,0,0,"Seattle, WA"
"Data Engineer, Big Data Privacy and Security","(['R'], ['Hive', 'Presto'], ['ETL'])",0,,0,0,"Seattle, WA "
Data Engineer,"(['Python'], ['AWS', 'Google Cloud Platform'], ['Airflow', 'GitHub', 'ETL', 'SQL'])",1,95000.0,0,0,"Seattle, WA "
Warranty Data Analytics - 2023 Summer Intern 1 Job,"(['Python'], ['SQL Server', 'Snowflake'], ['SQL', 'Tableau'])",0,,0,0,"Kirkland, WA"
Summer 2023 Data Engineering Intern,"(['Java', 'Python'], ['Snowflake'], ['SQL', 'DataBricks'])",0,,0,1,"Bellevue, WA"
Government & Infrastructure Insights Analyst,"(['agile', 'Power BI', 'Tableau'],)",1,125000.0,0,0,"Seattle, WA"
Sr Data Analyst - 126209-1,"(['Power BI'],)",0,,0,0,"Redmond, WA"
Summer 2023 Data Engineering Intern,"(['Python'], ['SQL'])",0,,0,0,"Bellevue, WA"
Data Analyst with Kusto & ADF,"(['DAX'], ['SQL', 'Power BI'])",0,,0,0,"Redmond, WA"
Data Engineer (265),"(['JavaScript'], ['agile'])",0,1000.0,0,0,"Bellevue, WA "
Data Reporting Analyst,"(['SQL', 'Tableau', 'SAS', 'SPSS'],)",0,1500.0,0,0,"Tacoma, WA"
BI Analyst II,"(['JavaScript', 'R', 'Python', 'VBA'], ['access'], ['Power BI', 'SQL', 'SAS'])",0,84000.0,0,0,"Seattle, WA "
Senior Data Analyst - Epic Cogito,"(['R', 'python'], ['SQL', 'Tableau', 'QlikView', 'd3'])",1,135000.0,0,0,"Seattle, WA"
Data Engineer,"(['Java', 'Scala', 'Python'], ['Azure Data Lake'], ['Microsoft SQL Server', 'SQL Server', 'Hive', 'HBase', 'MongoDB', 'Cassandra'], ['SQL', 'ETL', 'Git', 'agile', 'Synapse', 'SSIS', 'SSRS', 'Power BI'])",0,80000.0,0,0,"Seattle, WA "
"Summer 2023 Analyst, Business Intelligence Intern","(['Python'], ['SQL'])",0,,1,0,"Snoqualmie, WA"
Business Intelligence Analyst (Level II-IV),"(['Python', 'R'], ['AWS'], ['Redshift'], ['Tableau', 'SQL'])",1,128000.0,0,0,"Seattle, WA"
Data Engineer,"(['Scala', 'Java', 'Python'], ['AWS'], ['Presto', 'Hive'], ['agile'])",0,,0,1,"Seattle, WA "
"Associate Data Analyst, Data & Analytics",,1,,0,0,"Vancouver, British Columbia, Canada"
Full time / Associate Data Analyst (Remote),"(['SQL', 'Tableau'],)",0,,1,0,"Vancouver, British Columbia, Canada "
Data Analyst,"(['MATLAB'],)",0,,0,1,"North Vancouver, British Columbia, Canada"
Data Analyst,"(['R', 'python'], ['tidyverse', 'plotly', 'SQL', 'Git', 'Github'])",0,,0,0,"Burnaby, British Columbia, Canada "
Lead Data Analyst,"(['Tableau', 'Power BI', 'SQL', 'agile', 'JIRA'],)",0,1000.0,0,0,"Vancouver, British Columbia, Canada "
Data Analyst,"(['Python'], ['Access', 'MySQL'], ['Jira', 'ETL', 'Power BI', 'SQL', 'API'])",1,,0,0,"Vancouver, British Columbia, Canada"
Data Analyst II,"(['Python'], ['SQL', 'tableau', 'ETL', 'Tableau'])",0,,1,0,"Vancouver, British Columbia, Canada"
Data Analyst (Equest),"(['R', 'Python'], ['SQL'])",0,,0,1,"Surrey, British Columbia, Canada "
Data Analyst - Construction,"(['Power BI'],)",0,,0,0,"Vancouver, British Columbia, Canada "
Junior Data and Information Applications Analyst,"(['access'], ['Jira', 'SQL'])",0,,0,0,"Vancouver, British Columbia, Canada"
Marketing Data Analyst,"(['SQL', 'Sql'],)",0,,0,0,"Vancouver, British Columbia, Canada"
Senior Data Analyst,"(['R', 'Python'], ['SQL', 'Power BI', 'Tableau', 'Shiny'])",0,,0,0,"Vancouver, British Columbia, Canada"
"Data Analyst, Customer Success","(['Python', 'R'], ['SQL', 'Tableau'])",0,,0,0,"Greater Vancouver, British Columbia, Canada"
SQL Marketing Data Analyst with A/B Testing,"(['SQL', 'Sql'],)",0,,0,0,"Vancouver, British Columbia, Canada"
Junior Business Intelligence Analyst,"(['SQL', 'Power BI', 'Tableau', 'QlikView'],)",0,,0,1,"Vancouver, British Columbia, Canada "
Master Data Analyst,"(['PowerPoint'],)",0,,0,0,"Vancouver, British Columbia, Canada"
"Associate Data Visualization Engineer, Data & Analytics","(['Tableau', 'Looker', 'Power BI'],)",1,,0,0,"Vancouver, British Columbia, Canada"
"Data Analyst, Health Surveillance - BC Centre for Disease Control","(['Access'], ['SAS'])",0,,0,0,"Vancouver, British Columbia, Canada"
Senior Data Analyst,"(['ETL'],)",0,,0,0,"Vancouver, British Columbia, Canada"
"Data Analyst, Health Surveillance - BC Centre for Disease Control","(['Access'], ['SAS'])",0,,0,1,"Vancouver, British Columbia, Canada"
Principal Data Analyst,"(['access'],)",0,,0,0,"Vancouver, British Columbia, Canada "
Business Intelligence Specialist,"(['Google Workspace'], ['access'], ['Power BI', 'Tableau', 'Alteryx', 'ETL', 'SQL'])",0,,1,0,"Vancouver, British Columbia, Canada "
"Data Analyst, International Portfolio Management","(['VBA', 'R'],)",1,,0,0,"Vancouver, British Columbia, Canada"
Data Warehouse Analyst,"(['Python'], ['SQL Server', 'Oracle', 'access'], ['SSIS', 'SQL', 'Synapse', 'DataBricks'])",0,7500.0,0,0,"Greater Vancouver, British Columbia, Canada"
"Senior Data Analyst, Data Governance","(['Access'], ['SQL', 'Tableau', 'Power BI', 'Agile'])",0,,0,0,"Vancouver, British Columbia, Canada"
Data Engineer,"(['Python', 'Scala', 'R', 'Java'], ['Access'], ['SQL', 'Synapse', 'Databricks', 'ETL', 'SSIS'])",0,,0,1,"Vancouver, British Columbia, Canada "
Digital Analyst,,0,,0,0,"Vancouver, British Columbia, Canada"
Senior Data Analyst,"(['DAX'], ['SQL', 'Power BI'])",0,,0,0,"North Vancouver, British Columbia, Canada"
Data Developer Intern - May 2023,"(['Python', 'JavaScript'], ['API', 'SQL'])",0,45000.0,0,0,"North Vancouver, British Columbia, Canada "
Data Engineer,"(['SQL Server'], ['Databricks', 'SQL', 'ETL', 'SSIS', 'Power BI', 'Tableau', 'agile'])",0,,0,0,"Burnaby, British Columbia, Canada"
Business Intelligence Analyst,"(['Tableau', 'Alteryx', 'SQL'],)",0,,0,0,"Vancouver, British Columbia, Canada"
Marketing Performance & Insights Analyst (Hybrid),"(['Microsoft SQL Server'], ['Power BI', 'Google Analytics'])",0,2000.0,0,0,"Vancouver, British Columbia, Canada"
Data Engineer,"(['Python'], ['Snowflake', 'RedShift'], ['Airflow', 'SQL', 'agile'])",0,,0,0,"Vancouver, British Columbia, Canada "
HR Data & Systems Analyst,"(['SAP', 'PowerPoint'],)",0,,0,0,"Vancouver, British Columbia, Canada "
"Data Analyst, Strategic Partnerships( Bangkok based)","(['python', 'r', 'java'], ['microsoft sql server'], ['SQL', 'Tableau', 'tableau', 'power bi', 'pandas'])",1,,0,0,"Vancouver, British Columbia, Canada"
"Data Engineer - Remote, Full-Time","(['AWS'], ['Redshift', 'Oracle', 'MySQL', 'PostgreSQL'], ['Agile', 'Git', 'Tableau', 'Salesforce', 'SQL'])",0,,1,0,"Burnaby, British Columbia, Canada"
"Business Systems Analyst, IT Application Support","(['SQL Server'], ['SQL'])",0,,0,0,"Vancouver, British Columbia, Canada"
Principal Data Analyst (Plentyoffish Media ULC),"(['access'],)",0,,0,0,"Vancouver, British Columbia, Canada"
"Data Engineer - Remote, Full-Time","(['AWS'], ['Redshift', 'Oracle', 'MySQL', 'PostgreSQL'], ['Agile', 'Git', 'Tableau', 'Salesforce', 'SQL'])",0,,0,1,"Surrey, British Columbia, Canada"
Senior Performance and Data Analyst,"(['Python', 'R'], ['Power BI', 'Tableau', 'SQL'])",0,114500.0,0,0,"Vancouver, British Columbia, Canada "
"Senior Analyst, Data Management (Permanent, Full Time)","(['SQL', 'SAP', 'SAS'],)",0,,0,0,"Vancouver, British Columbia, Canada"
Data Center Engineer,"(['access'],)",0,,0,0,"Vancouver, British Columbia, Canada "
Data Engineer (Equest),"(['Python', 'R'], ['access'], ['Databricks', 'SQL', 'git', 'dbt', 'Synapse', 'Tableau'])",0,,0,0,"Surrey, British Columbia, Canada"
Data Analyst,"(['Python', 'R'], ['SQL', 'Tableau', 'Agile', 'Jira'])",0,78000.0,0,0,"San Diego, CA"
Data Analyst,,0,,0,0,"Seattle, WA "
Data Analyst,"(['Python'], ['SQL', 'Tableau', 'QlikView'])",0,,0,0,"Budapest, Budapest, Hungary"
Data Analyst,"(['Agile'],)",0,,0,0,"California, United States"
Data Analyst,"(['R', 'VBA', 'Python'], ['SQL', 'Tableau', 'Power BI', 'Google Analytics'])",0,,0,0,"Rotherham, England, United Kingdom"
Data Analyst,"(['agile', 'Scrum'],)",0,,0,0,"London, England, United Kingdom"
Data Analyst,"(['Agile'],)",1,,0,0,"Minnesota, United States"
Data Analyst,"(['Agile'],)",0,,1,0,"New York, United States"
Data Analyst,"(['R', 'Python', 'VBA'], ['Salesforce', 'SQL'])",0,,0,0,"Sydney, New South Wales, Australia "
Data Analyst,"(['VBA', 'DAX', 'R', 'Python'], ['Power BI', 'SQL'])",0,,0,1,"Madrid, Community of Madrid, Spain"
Data Analyst,,0,,0,0,"Prague, Czechia "
Data Analyst,"(['Agile'],)",0,,0,0,"Coree, Australian Capital Territory, Australia"
Data Analyst,"(['R', 'Python'], ['velocity'], ['SQL', 'Tableau'])",0,100000.0,0,0,United States
Data Analyst,"(['SAP'],)",0,,0,1,"King of Prussia, PA "
Data Analyst,"(['VBA'], ['PowerPoint'])",0,,0,0,"Bengaluru, Karnataka, India"
Data Analyst,"(['R', 'Python'], ['AWS', 'GCP'], ['Oracle'], ['Power BI', 'SAP', 'SQL'])",1,,0,0,Canada
Data Analyst,"(['VBA'], ['SQL'])",0,,0,1,"Mumbai, Maharashtra, India"
Data Analyst,,1,,0,0,"Mengeš, Slovenia"
Data Analyst,"(['Agile'],)",0,,0,0,"Illinois, United States"
Data Analyst,"(['Python'], ['SQL', 'Power BI'])",0,,0,0,"London, England, United Kingdom "
"Senior Analyst, Analytics & Insights","(['access'], ['SQL'])",0,,0,0,"Canada, Moyen-Chari, Chad"
"Senior Analyst, Business Intelligence","(['access'], ['SQL', 'Tableau', 'dbt'])",0,,0,0,"Canada, Moyen-Chari, Chad"
Senior Technology GRC Analyst,"(['access'],)",0,150000.0,0,1,"Canada, Moyen-Chari, Chad"
Staff Cloud Developer,"(['Python'], ['GCP', 'AWS'], ['Git', 'API', 'Docker', 'agile', 'Scrum'])",0,,0,0,"Canada, Moyen-Chari, Chad"
Principal Performance Engineer,"(['Java'], ['PostgreSQL', 'Redis'])",0,,0,0,"Canada, Moyen-Chari, Chad"
Firmware Engineers and Archtiects,"(['C++', 'Matlab', 'Python'],)",0,,0,0,"Canada, Moyen-Chari, Chad"
Senior Performance Engineer,"(['Java', 'python'], ['JIRA', 'Confluence', 'Git', 'Agile'])",0,,0,0,"Canada, Moyen-Chari, Chad"
Staff Software Developer,"(['JavaScript'], ['snowflake'], ['agile', 'Scrum', 'SQL'])",1,,0,0,"Canada, Moyen-Chari, Chad"
"Senior Software Engineer, Java Database Experience","(['Java', 'Scala'], ['MongoDB'], ['agile'])",0,,0,0,"Canada, Moyen-Chari, Chad"
Senior Software Engineer - Full Stack/Java,"(['Java', 'JavaScript'], ['AWS'], ['PostgreSQL', 'Cassandra'], ['API', 'agile', 'git', 'Scrum', 'GitHub', 'GitLab', 'Docker'])",0,,0,1,"Canada, Moyen-Chari, Chad"
Data Analyst,"(['Python', 'R'],)",0,,1,0,"London, England, United Kingdom "
Junior Data Analyst,"(['Python'], ['SQL'])",0,,0,0,"London, England, United Kingdom "
Data Analyst,"(['access'],)",0,,0,0,"London Area, United Kingdom "
Data Analyst,"(['oracle'], ['SQL'])",0,,1,0,"London, England, United Kingdom"
Data Analyst,"(['Power BI', 'SQL'],)",0,,0,0,"London, England, United Kingdom"
Junior Data Analyst,"(['SQL'],)",0,,0,0,"London, England, United Kingdom"
Data Analyst,"(['Python', 'R'], ['SQL', 'Tableau'])",0,,1,0,"London Area, United Kingdom "
Data Analyst,"(['Python', 'R', 'MATLAB'],)",1,,0,0,"England, United Kingdom"
Junior Data Analyst,"(['Python', 'R'], ['SQL'])",0,,0,0,"London, England, United Kingdom "
Data Analyst,"(['Python'], ['SQL'])",0,,0,1,"London, England, United Kingdom "
Data Analyst,"(['R', 'python'], ['Hive'], ['SQL'])",0,,0,0,"London, England, United Kingdom"
Data Analyst,"(['agile'],)",0,,0,0,"London, England, United Kingdom"
Data Analyst,"(['R'], ['MySQL', 'access'], ['Tidyverse', 'Shiny', 'GitHub'])",0,,0,0,"London Area, United Kingdom"
Data Analyst,"(['SQL'],)",0,,0,0,"London, England, United Kingdom "
Junior Data Analyst (SPSS),"(['Python'], ['access'], ['SPSS', 'SAS'])",0,,0,0,"London, England, United Kingdom "
Client Data Analyst,"(['access'], ['agile'])",0,,1,0,"London Area, United Kingdom "
Data Analyst,"(['SQL'],)",0,,0,0,"London, England, United Kingdom"
Data Analyst,,0,,0,0,"London, England, United Kingdom "
Data Analyst,"(['R', 'Python'], ['SQL'])",0,,0,0,"London, England, United Kingdom "
Graduate Data Analyst,"(['Python'], ['Tableau'])",0,,0,0,"London, England, United Kingdom "
Data Analyst,"(['Python'], ['Tableau', 'agile'])",0,,0,0,"London, England, United Kingdom"
Data Analyst,"(['Snowflake'], ['SQL', 'Tableau', 'HubSpot', 'agile'])",0,,0,0,"London, England, United Kingdom "
Data Analyst - BBC World Service,"(['R', 'Python'], ['Redshift'], ['Google Analytics', 'SQL', 'Tableau', 'Looker'])",0,,0,1,"London, England, United Kingdom"
Junior Data Analyst,"(['Python'], ['AWS'], ['API', 'SQL', 'Pandas'])",0,,0,0,"London, England, United Kingdom"
Data Analyst,"(['Power BI', 'SQL'],)",0,,0,0,"London, England, United Kingdom "
Data Analyst,"(['Python', 'R', 'Javascript'], ['SQL'])",1,,0,0,"London, England, United Kingdom"
Data Analyst,"(['Python'], ['Access'], ['SQL', 'Amplitude', 'Tableau'])",0,,0,0,"London, England, United Kingdom "
Data Analyst,"(['Python'], ['Agile', 'Power BI', 'Tableau', 'SQL', 'agile'])",0,,0,1,"London, England, United Kingdom"
Data Analyst,"(['R', 'Python'], ['SQL Server'], ['SSIS', 'SSRS'])",0,,0,0,"London, England, United Kingdom "
Data Analyst,"(['SQL', 'Power BI', 'Alteryx'],)",0,,0,0,"London, England, United Kingdom"
Data Analyst,"(['SQL', 'SSIS', 'Tableau', 'Power BI'],)",0,,1,0,"England, United Kingdom"
Data Analyst,"(['SQL', 'Tableau', 'Power BI'],)",0,,0,0,"London, England, United Kingdom "
Data Analyst,"(['Tableau', 'tableau', 'salesforce'],)",0,,0,0,"Chessington, England, United Kingdom"
Data Analyst,"(['Python'], ['SQL', 'Tableau', 'Power BI', 'Transformers'])",1,,0,0,"London, England, United Kingdom "
Data Analyst,"(['Python'], ['AWS', 'GCP'], ['Tableau', 'Power BI', 'SQL', 'Google Analytics'])",0,,0,0,"London Area, United Kingdom "
Junior Data Analyst,"(['access'], ['PowerPoint'])",0,,1,0,"England, United Kingdom "
Data Analyst (Renewables),"(['SQL'],)",0,,0,0,"London, England, United Kingdom"
Junior Data Analyst,"(['Alteryx'],)",0,,0,0,"London, England, United Kingdom "
Data Analyst,"(['Python'], ['access'], ['Pandas', 'Numpy', 'Plotly', 'SQL'])",0,,0,0,"London, England, United Kingdom "
Data Analyst,"(['SQL', 'Power BI'],)",0,,0,1,"London, England, United Kingdom"
Data Analyst,"(['SPSS', 'SAS', 'SQL', 'Tableau'],)",0,,0,0,"Watford, England, United Kingdom"
Data Analyst,"(['Python', 'R'], ['PostgreSQL'], ['Tableau', 'QuickSight', 'SQL', 'Salesforce'])",0,,0,1,"London, England, United Kingdom"
Data Analyst,"(['Python'], ['SQL', 'NumPy', 'pandas', 'Plotly', 'matplotlib', 'Git', 'Tableau', 'Looker', 'DBT'])",0,,0,0,"London, England, United Kingdom"
Data Analyst,"(['Python', 'R'], ['SQL', 'Tableau'])",0,,0,0,"London, England, United Kingdom "
Data Analyst - Hybrid - £60K +,"(['Python', 'R'], ['GCP'], ['looker', 'Google Analytics', 'SQL', 'Qlikview', 'Power BI', 'Tableau'])",0,,0,0,"London Area, United Kingdom "
Data Analyst,"(['R'], ['SQL', 'Power BI'])",0,,0,1,"Blackwall, England, United Kingdom "
Data Analyst,"(['R'],)",0,,0,0,"London, England, United Kingdom"
Data Analyst,"(['Python', 'R'], ['SQL', 'Tableau'])",0,,0,0,"London, England, United Kingdom "
Data Analyst,"(['SQL'],)",0,,0,0,"London, England, United Kingdom"
Data Analyst,"(['Python', 'DAX'], ['Power BI', 'SQL'])",1,,0,0,"London, England, United Kingdom "
Data Analyst,"(['SQL Server', 'Oracle'], ['Power BI', 'ETL', 'SQL'])",0,,1,0,"London, England, United Kingdom"
Data Analyst,"(['Power BI', 'scrum', 'Agile'],)",0,,0,0,"England, United Kingdom "
Data Analyst,"(['SQL'],)",0,,0,1,"London, England, United Kingdom"
Data Analyst,"(['Microsoft SQL Server'], ['SQL'])",0,,0,0,"London, England, United Kingdom"
Data Analyst,"(['access'], ['SAS', 'PowerPoint', 'Power Bi'])",0,,0,0,"England, United Kingdom "
Data Analyst,"(['Python'], ['Snowflake'], ['agile', 'Google Analytics', 'SQL', 'Databricks'])",0,,1,0,"England, United Kingdom"
Data Analyst,"(['SQL'],)",1,,0,0,"London, England, United Kingdom "
"Data Analyst - £45,000 - Central London, Mayfair","(['VBA'], ['SQL', 'Power BI', 'Tableau'])",0,,0,0,"London, England, United Kingdom"
Game Data Analyst,"(['Python', 'R'], ['Redshift', 'Access'], ['SQL', 'Looker', 'Tableau'])",0,,0,1,"London, England, United Kingdom"
Data Analyst,"(['access'],)",0,,0,0,"London, England, United Kingdom"
Junior Economic Data Analyst,,0,,0,1,"London, England, United Kingdom"
Graduate Data Analyst,"(['SQL'],)",0,,0,0,"London, England, United Kingdom"
Graduate Data Analyst,"(['SQL'],)",0,,0,0,"London, England, United Kingdom"
Data Analyst,"(['Python', 'R'], ['MySQL', 'Snowflake', 'Redshift'], ['Google Analytics', 'Tableau', 'API', 'SQL'])",0,,1,0,"London, England, United Kingdom "
Data Analyst,"(['R', 'Python'], ['SQL'])",0,,0,0,"London, England, United Kingdom"
Digital Data Analyst,"(['Java', 'Python'], ['Access', 'Snowflake'], ['SQL', 'Power BI', 'Looker', 'ETL', 'Power Bi', 'Google analytics'])",0,,0,0,"London, England, United Kingdom"
Data Analyst,"(['Power BI', 'SQL'],)",0,,0,0,"London, England, United Kingdom"
Data Analyst - London,"(['Alteryx'],)",0,,0,0,"London, England, United Kingdom"
Data Analyst - Global Brand - London,"(['Alteryx'],)",0,,0,0,"London, England, United Kingdom"
Data Analyst,"(['VBA', 'R', 'Python'], ['SQL Server', 'Access', 'Oracle'], ['Power BI', 'SQL'])",0,,1,0,"London, England, United Kingdom"
Data Analyst,"(['Python'], ['access'], ['ETL', 'SQL', 'numpy', 'pandas', 'matplotlib', 'sklearn'])",1,,0,0,"London Area, United Kingdom"
Junior Data Analyst,"(['SQL', 'Power BI', 'ETL', 'Qlikview', 'Tableau'],)",0,,0,0,"London, England, United Kingdom "
Data Analytics and Business Intelligence | Analyst | London,"(['PowerPoint'],)",0,,0,0,"London, England, United Kingdom"
Graduate Data Analyst,,0,,0,0,"London, England, United Kingdom "
Data Analyst,"(['VBA', 'Python'], ['access'], ['SQL'])",0,,0,0,"London, England, United Kingdom"
Data Analyst,,0,,0,1,"London, England, United Kingdom"
Data Analyst,"(['VBA', 'R', 'Python'], ['SQL Server', 'Access', 'Oracle'], ['Power BI', 'SQL'])",0,,0,0,"London, England, United Kingdom"
Data Analyst,"(['GCP'], ['Snowflake'], ['SQL', 'DBT', 'Agile', 'Google Analytics', 'Tableau'])",0,,0,0,"London, England, United Kingdom "
Graduate Digital Insight Analyst / Graduate Data Analyst,"(['Google Analytics'],)",0,,0,0,"London, England, United Kingdom"
Data Analyst,,0,,0,0,"London, England, United Kingdom"
Data Analyst,"(['PYTHON', 'Python', 'R'], ['Snowflake'], ['SQL', 'ETL'])",1,,0,0,"London, England, United Kingdom"
Data Analyst,"(['R'], ['SQL', 'Power BI'])",0,,0,0,"Tower Hamlets, England, United Kingdom "
Business Data Analyst,"(['Access', 'SQL Server'], ['PowerPoint', 'SQL'])",0,,0,0,"London, England, United Kingdom"
Data Analyst,"(['Python'], ['Google Analytics', 'SQL'])",0,,0,0,"Watford, England, United Kingdom"
Business Data Analyst,"(['Access', 'SQL Server'], ['PowerPoint', 'SQL'])",0,,0,0,"London, England, United Kingdom"
Data Analyst,"(['Python'], ['Google Analytics', 'SQL'])",0,,0,1,"Watford, England, United Kingdom"
Data Analyst,"(['Python'], ['agile', 'SQL', 'Looker', 'Tableau', 'DBT'])",0,,0,0,"London, England, United Kingdom"
Data Analytics - 3 month Intern,"(['Python', 'R'], ['Tableau', 'SQL', 'agile'])",0,,0,0,"London, England, United Kingdom"
Data & Insight Analyst,"(['PowerPoint', 'SQL'],)",1,,0,0,"London, England, United Kingdom "
Data Analyst,"(['Python'], ['agile', 'Looker', 'SQL', 'github', 'dbt'])",0,,0,0,"London, England, United Kingdom "
Data Analyst,"(['Python', 'R'], ['Power BI', 'Tableau', 'SQL'])",0,,0,0,"London, England, United Kingdom"
Data Analyst,"(['Python'], ['access', 'Snowflake'], ['agile', 'dbt', 'ETL', 'Tableau', 'SQL', 'git'])",0,,0,0,"London Area, United Kingdom"
Data Analyst,"(['Power BI'],)",0,,0,0,"London Heathrow Airport, England, United Kingdom "
Graduate Data Analyst (Poland),,0,,0,1,"London, England, United Kingdom "
Data Insight Analyst,,0,,0,0,"London, England, United Kingdom"
"Data Analyst, Digital Analytics and Insights","(['access'], ['Looker', 'SQL'])",0,,0,0,"London, England, United Kingdom"
Data Analyst,"(['Power BI'],)",0,,0,0,"London, England, United Kingdom"
Data Analyst,"(['Power BI', 'PowerPoint'],)",0,,0,0,"London, England, United Kingdom "
Data Analyst,"(['Power BI'],)",0,,0,0,"Harlington, England, United Kingdom "
Data Analyst,"(['R', 'Python'], ['SQL'])",0,,0,0,"London, England, United Kingdom"
Data Analyst (Fraud)*,"(['Python'], ['MySQL'], ['SQL'])",0,,0,1,"Berlin, Berlin, Germany"
Data Analyst*in the toll environment (d/m/w),,0,,0,0,"Berlin, Berlin, Germany"
Junior Data Analyst (m/w/d) Data Analytics Platform,"(['Python', 'R'], ['Scrum', 'SQL', 'Tableau', 'agile'])",0,,0,0,"Berlin, Berlin, Germany"
Product Data Analyst (d/f/m),"(['R', 'Python'], ['Tableau', 'Powerpoint', 'SQL', 'Amplitude'])",0,,0,0,"Berlin, Germany"
Data Analyst (m/w/d) | Vollzeit,"(['Python'], ['Google Analytics', 'SQL'])",0,,0,0,"Berlin, Berlin, Germany "
Data Analyst (m/w/d),"(['R'], ['Spotify'], ['Tableau', 'Power BI', 'Alteryx', 'Shiny'])",0,,0,0,"Berlin, Berlin, Germany"
Data Analyst (m/w/d),,0,,0,0,"Berlin, Berlin, Germany"
Data Analyst (M/W/D),"(['Spotify'],)",0,,0,0,"Berlin, Berlin, Germany"
Data Analyst - Digital Products,"(['Python', 'R'], ['Tableau', 'SQL', 'Google Sheets', 'Google Analytics', 'ETL', 'Tidyverse', 'Agile'])",0,,0,0,"Berlin, Berlin, Germany "
Data Analyst - Digital Products,"(['Python', 'R'], ['Tableau', 'SQL', 'Google Sheets', 'Google Analytics', 'ETL', 'Tidyverse', 'Agile'])",1,,0,0,"Berlin, Berlin, Germany "
Data Analyst (M/W/D),"(['R'], ['Tableau', 'Power BI', 'Alteryx', 'Shiny'])",0,,0,0,"Berlin, Berlin, Germany"
Data Analyst*in im Mautumfeld (d/m/w),,0,,0,0,"Berlin, Berlin, Germany"
(Senior) Data Analyst - Growth (f/m/x),"(['Python', 'R'], ['access'], ['Google Analytics', 'Salesforce', 'SQL', 'Looker', 'Tableau'])",0,,0,0,"Berlin, Berlin, Germany"
Data Analyst (m/w/d),"(['Access'],)",0,,0,0,"Teltow, Brandenburg, Germany"
Growth Data Analyst (m/f/x),"(['Python'], ['access'], ['Google Analytics', 'SQL', 'Tableau'])",1,,0,0,"Berlin, Berlin, Germany"
Business Intelligence/Data Analyst Working Student (f/m/d),"(['ETL', 'Tableau', 'SQL'],)",0,,0,0,"Berlin, Berlin, Germany "
Data Analyst (w/m/d),,0,,0,0,"Berlin, Berlin, Germany"
Business Intelligence Analyst (f/m/x),"(['Python'], ['Tableau', 'SQL', 'Power BI'])",0,,0,0,"Berlin, Berlin, Germany"
Data Analyst/Specialist Finance (w/m/d),,0,,0,0,"Berlin, Berlin, Germany"
(Senior) Data Analyst (m/f/d),"(['R', 'Python'], ['Snowflake'], ['Looker', 'SQL', 'Git', 'Tableau', 'Power BI'])",0,,0,0,"Berlin, Berlin, Germany "
Data Analyst - Digital Marketing (all genders),"(['Python', 'R'], ['SQL', 'Google Analytics'])",0,,0,0,"Berlin, Germany"
"Data Analyst, Business and Product Analytics","(['Snowflake', 'PostgreSQL'], ['SQL', 'Looker', 'Periscope', 'Tableau', 'Power BI'])",0,,0,0,"Berlin, Berlin, Germany"
Data Strategy Analyst (m/f/d),"(['Python'], ['SQL'])",0,,0,0,"Berlin, Berlin, Germany "
Data Analyst for Energy Market,,0,,0,0,"Berlin, Berlin, Germany"
"Data Analyst, Marketing & Communications","(['Python'], ['GCP'], ['SQL'])",0,,0,0,"Berlin, Germany "
(Senior) Data Analyst,"(['Python'], ['Access'], ['SQL', 'Power BI', 'DBT', 'Google Analytics'])",0,,0,0,"Berlin, Germany "
(Senior) Data Analyst (all genders),"(['Python'], ['Snowflake'], ['SQL', 'Tableau', 'Git', 'dbt'])",0,,0,0,"Berlin, Berlin, Germany "
